                  playlist_id                  |                                                                                                                                     quiz_prepost                                                                                                                                      
                                               | A. Inggris                                                                                                                                                                                                                                                                           +
                                               | B. Jerman                                                                                                                                                                                                                                                                            +
                                               | C. Prancis                                                                                                                                                                                                                                                                           +
                                               | D. Belanda                                                                                                                                                                                                                                                                           +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Jenis nilai utama dalam konsep jiwa korsa yang melibatkan penyerahan waktu atau tenaga untuk keberhasilan kelompok adalah...                                                                                                                                                         +
                                               | A. Solidaritas                                                                                                                                                                                                                                                                       +
                                               | B. Integritas                                                                                                                                                                                                                                                                        +
                                               | C. Kesetiaan                                                                                                                                                                                                                                                                         +
                                               | D. Pengorbanan                                                                                                                                                                                                                                                                       +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Konsep jiwa korsa membangun kekuatan kolektif melalui komitmen tanpa pamrih dan pengutaman kepentingan bersama, ini menunjukkan bahwa...                                                                                                                                             +
                                               | A. Setiap anggota kelompok harus memiliki tujuan pribadi                                                                                                                                                                                                                             +
                                               | B. Tujuan individu lebih penting daripada tujuan kelompok                                                                                                                                                                                                                            +
                                               | C. Kegiatan kelompok berfokus pada persaingan antar anggota                                                                                                                                                                                                                          +
                                               | D. Semangat kerja sama dan saling percaya sangat diperlukan dalam mencapai tujuan bersama                                                                                                                                                                                            +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Ciri-ciri jiwa korsa yang melibatkan dukungan antar anggota dalam situasi sulit disebut sebagai                                                                                                                                                                                      +
                                               | A. Tanggung jawab bersama                                                                                                                                                                                                                                                            +
                                               | B. Pengutaman kepentingan bersama                                                                                                                                                                                                                                                    +
                                               | C. Solidaritas                                                                                                                                                                                                                                                                       +
                                               | D. Semangat kekeluargaan                                                                                                                                                                                                                                                             +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Menurut video, bagaimana cara yang paling efektif untuk memperkuat semangat kekeluargaan dalam suatu kelompok?                                                                                                                                                                       +
                                               | A. Memastikan semua anggota mengikuti aturan dan nilai-nilai yang telah disepakati                                                                                                                                                                                                   +
                                               | B. Melakukan aktivitas bersama di luar lingkungan kerja                                                                                                                                                                                                                              +
                                               | C. Mendorong pengutaman kepentingan bersama                                                                                                                                                                                                                                          +
                                               | D. Menekankan tanggung jawab bersama                                                                                                                                                                                                                                                 +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks jiwa korsa, bagaimana tekanan dapat mempengaruhi hubungan antar anggota jika tidak ada disiplin yang kuat?                                                                                                                                                             +
                                               | A. Meningkatkan semangat kekeluargaan di dalam kelompok                                                                                                                                                                                                                              +
                                               | B. Mengurangi solidaritas dan kerjasama tim                                                                                                                                                                                                                                          +
                                               | C. Memperkuat tanggung jawab bersama setiap anggota                                                                                                                                                                                                                                  +
                                               | D. Mendorong pengutaman kepentingan pribadi dibandingkan kelompok                                                                                                                                                                                                                    +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pentingnya jiwa korsa dalam kehidupan ASN adalah untuk:                                                                                                                                                                                                                              +
                                               | A. Meningkatkan individualisme                                                                                                                                                                                                                                                       +
                                               | B. Penciptaan lingkungan kerja positif                                                                                                                                                                                                                                               +
                                               | C. Mengurangi komitmen organisasional                                                                                                                                                                                                                                                +
                                               | D. Memperlemah rasa tanggung jawab bersama                                                                                                                                                                                                                                           +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Jiwa korsa dalam konteks ASN membantu menghadapi tantangan dengan cara:                                                                                                                                                                                                              +
                                               | A. Melawan secara individu                                                                                                                                                                                                                                                           +
                                               | B. Berpindah ke instansi lain                                                                                                                                                                                                                                                        +
                                               | C. Menghindari masalah                                                                                                                                                                                                                                                               +
                                               | D. Menggunakan kekuatan tim                                                                                                                                                                                                                                                          +
                                               | ANSWER: D                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam video ini, pemimpin yang memiliki jiwa korsa akan:                                                                                                                                                                                                                             +
                                               | A. Membatasi partisipasi anggota tim                                                                                                                                                                                                                                                 +
                                               | B. Menumbuhkan rasa memiliki di antara anggota timnya                                                                                                                                                                                                                                +
                                               | C. Membiarkan konflik internal terjadi tanpa campur tangan                                                                                                                                                                                                                           +
                                               | D. Menghambat adaptasi terhadap perubahan seperti digitalisasi                                                                                                                                                                                                                       +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian Jiwa Korsa dalam konteks video ini adalah...                                                                                                                                                                                                                              +
                                               | A. Kemauan untuk bersaing dan unggul secara individu                                                                                                                                                                                                                                 +
                                               | B. Semangat kerja sama yang kuat dengan orientasi pada keberhasilan bersama                                                                                                                                                                                                          +
                                               | C. Keinginan untuk memimpin tanpa melibatkan orang lain                                                                                                                                                                                                                              +
                                               | D. Kepatuhan terhadap aturan tanpa adanya komunikasi efektif                                                                                                                                                                                                                         +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Strategi apa yang disarankan dalam video ini untuk menciptakan lingkungan kerja yang harmonis?                                                                                                                                                                                       +
                                               | A. Meningkatkan persaingan antar individu                                                                                                                                                                                                                                            +
                                               | B. Melakukan pelatihan dan pengembangan serta kegiatan sosial                                                                                                                                                                                                                        +
                                               | C. Mengurangi komunikasi antar anggota tim                                                                                                                                                                                                                                           +
                                               | D. Membebaskan diri dari nilai-nilai bersama                                                                                                                                                                                                                                         +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana strategi penanaman nilai-nilai bersama melalui komunikasi konsisten dapat meningkatkan produktivitas dalam lingkungan kerja?                                                                                                                                               +
                                               | A. Dengan mengurangi kepercayaan antar anggota tim                                                                                                                                                                                                                                   +
                                               | B. Melalui penguatan kolaborasi dan apresiasi kontribusi individu atau tim                                                                                                                                                                                                           +
                                               | C. Meningkatkan persaingan individual untuk menonjolkan diri sendiri                                                                                                                                                                                                                 +
                                               | D. Menghambat inisiatif dan kreativitas anggota tim                                                                                                                                                                                                                                  +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Penghambat utama dalam membangun jiwa korsa di lingkungan ASN adalah:                                                                                                                                                                                                                +
                                               | A. Kekurangan fasilitas interaksi antar anggota tim                                                                                                                                                                                                                                  +
                                               | B. Tekanan eksternal seperti perubahan kebijakan                                                                                                                                                                                                                                     +
                                               | C. Kompetisi internal dan individualisme                                                                                                                                                                                                                                             +
                                               | D. Kurangnya pemahaman terhadap nilai dasar organisasi                                                                                                                                                                                                                               +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana cara yang efektif untuk mengatasi ketidakpercayaan dalam tim ASN?                                                                                                                                                                                                          +
                                               | A. Meningkatkan komunikasi antar anggota tim                                                                                                                                                                                                                                         +
                                               | B. Menambah fasilitas interaksi positif                                                                                                                                                                                                                                              +
                                               | C. Mengurangi tekanan eksternal seperti perubahan kebijakan                                                                                                                                                                                                                          +
                                               | D. Memperkuat pemahaman nilai dasar organisasi                                                                                                                                                                                                                                       +
                                               | ANSWER: A                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Apa konsekuensi dari kurangnya pemahaman tentang nilai dasar organisasi dalam tim ASN?                                                                                                                                                                                               +
                                               | A. Gesekan antar anggota tim yang lebih rendah                                                                                                                                                                                                                                       +
                                               | B. Harmonisasi kerja yang meningkat                                                                                                                                                                                                                                                  +
                                               | C. Tujuan setiap anggota menjadi berbeda-beda                                                                                                                                                                                                                                        +
                                               | D. Interaksi positif antar anggota tim semakin baik                                                                                                                                                                                                                                  +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pengertian jiwa korsa dalam konteks ASN adalah...                                                                                                                                                                                                                                    +
                                               | A. Membantu anggota tim tanpa menunggu instruksi                                                                                                                                                                                                                                     +
                                               | B. Menjalankan tugas secara individual tanpa bantuan rekan kerja                                                                                                                                                                                                                     +
                                               | C. Menghindari konflik dengan cara mengelak dari masalah                                                                                                                                                                                                                             +
                                               | D. Melakukan pekerjaan hanya sesuai aturan formal saja                                                                                                                                                                                                                               +
                                               | ANSWER: A                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bentuk komunikasi internal yang efektif dalam implementasi jiwa korsa di lingkungan ASN meliputi...                                                                                                                                                                                  +
                                               | A. Komunikasi satu arah dan formal                                                                                                                                                                                                                                                   +
                                               | B. Saluran komunikasi terbuka baik formal maupun informal                                                                                                                                                                                                                            +
                                               | C. Penggunaan teknologi digital saja untuk berkomunikasi                                                                                                                                                                                                                             +
                                               | D. Membatasi interaksi antar anggota tim                                                                                                                                                                                                                                             +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Dalam konteks implementasi jiwa korsa di lingkungan ASN, bagaimana pengaruh pelatihan dan pendidikan terhadap organisasi?                                                                                                                                                            +
                                               | A. Pengurangan biaya operasional karena kurangnya kebutuhan pelatihan                                                                                                                                                                                                                +
                                               | B. Meningkatkan kompetensi anggota tim dan membangun kerja sama yang lebih baik                                                                                                                                                                                                      +
                                               | C. Mengisolasi individu dari lingkungan kerja untuk fokus pada peningkatan keterampilan pribadi                                                                                                                                                                                      +
                                               | D. Menurunkan semangat kerja karena terlalu banyak waktu dihabiskan untuk pelatihan                                                                                                                                                                                                  +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pentingnya pemberdayaan anggota tim dalam konteks jiwa korsa adalah untuk:                                                                                                                                                                                                           +
                                               | A. Membuat aturan yang lebih ketat                                                                                                                                                                                                                                                   +
                                               | B. Memastikan setiap anggota memiliki kesempatan untuk berinovasi dan berkembang                                                                                                                                                                                                     +
                                               | C. Mengurangi komunikasi antar anggota tim                                                                                                                                                                                                                                           +
                                               | D. Menekan anggota lain agar meniru perilaku pemimpin                                                                                                                                                                                                                                +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana cara yang paling efektif untuk menerapkan nilai jiwa korsa dalam organisasi?                                                                                                                                                                                               +
                                               | A. Dengan membatasi interaksi antar anggota tim                                                                                                                                                                                                                                      +
                                               | B. Melalui pendidikan dan pelatihan yang mendalam tentang pentingnya komitmen bersama                                                                                                                                                                                                +
                                               | C. Mengabaikan kontribusi individu untuk fokus pada tujuan kolektif                                                                                                                                                                                                                  +
                                               | D. Menekankan hierarki dalam organisasi                                                                                                                                                                                                                                              +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
